Ident,TransLevel,Elevation,IsQFE,Range,Boundary
*,S36,0,0,30,
VHHH,F110,20,0,,113.631111/22.179444 113.821667/22.404722 114.158056/22.562778 114.225833/22.553333 114.383889/22.613889 114.461667/22.562778 114.506944/22.400278 114.748056/22.520833 115.9125/22.583611 115.664167/22.295556 115.664167/22.088889 114.923611/22.063333 114.926111/21.773056 114.702778/21.678056 115.2975/21.190278 115.2625/21.153056 115.066667/21.023056 114.808056/20.913889 114.557222/20.851389 114.303611/20.828056 114.03/20.851389 113.761389/20.916389 113.528056/21.023056 113.314722/21.155556 113.118889/21.336667 112.940833/21.591944 113.013611/21.794167 113.261944/21.803333 113.568333/22.000833 113.520556/22.205 113.558056/22.216667 113.628333/22.181944
VMMC,F110,20,0,,113.631111/22.179444 113.821667/22.404722 114.158056/22.562778 114.225833/22.553333 114.383889/22.613889 114.461667/22.562778 114.506944/22.400278 114.748056/22.520833 115.9125/22.583611 115.664167/22.295556 115.664167/22.088889 114.923611/22.063333 114.926111/21.773056 114.702778/21.678056 115.2975/21.190278 115.2625/21.153056 115.066667/21.023056 114.808056/20.913889 114.557222/20.851389 114.303611/20.828056 114.03/20.851389 113.761389/20.916389 113.528056/21.023056 113.314722/21.155556 113.118889/21.336667 112.940833/21.591944 113.013611/21.794167 113.261944/21.803333 113.568333/22.000833 113.520556/22.205 113.558056/22.216667 113.628333/22.181944
ZBAA,S36,115,0,,115.531389/38.6675 115.436111/39.666667 115.507222/40.245278 115.530556/40.433333 116.419167/40.423889 116.525833/40.567778 116.551944/40.602778 116.566667/40.777778 117.281944/40.713889 117.145278/40.350556 117.187778/40.119444 117.313056/39.426667 117.500278/39.154722 118.034444/39.070278 118.029167/38.591389 116.378056/38.647778
ZBAD,S36,82,0,,115.531389/38.6675 115.436111/39.666667 115.507222/40.245278 115.530556/40.433333 116.419167/40.423889 116.525833/40.567778 116.551944/40.602778 116.566667/40.777778 117.281944/40.713889 117.145278/40.350556 117.187778/40.119444 117.313056/39.426667 117.500278/39.154722 118.034444/39.070278 118.029167/38.591389 116.378056/38.647778
ZBAL,S36,4577,0,30,
ZBAR,S36,4649,0,30,
ZBCD,S36,2303,0,30,
ZBCF,,2037,1,27,
ZBCZ,S36,3028,1,30,
ZBDH,S36,52,0,30,
ZBDS,S36,4593,0,,110.166667/39.872222 110.283333/39.438889 110.283333/39.15 109.233333/39.15 109.233333/39.533333 109.716667/39.783333
ZBDT,S36,3468,0,30,
ZBEN,S36,3068,0,27,
ZBER,S36,3330,0,30,
ZBES,S36,2940,0,27,
ZBHD,S36,240,0,0,
